months,multiple,gb_mon,security,backup,protection,support,unlimited,contract,paperless,monthly,satisfaction,churn_value,offer,internet_type
59,0,27,1,0,0,0,1,Month-to-Month,1,50.84577114,2,1,None,internet_type_DSL
40,1,8,0,0,0,0,1,Month-to-Month,1,95.87064677,3,1,None,internet_type_Fiber Optic
23,1,19,1,1,1,0,1,Month-to-Month,0,93.08457711,1,1,None,internet_type_Fiber Optic
8,1,13,0,0,1,0,0,Month-to-Month,1,99.90049751,3,1,None,internet_type_Fiber Optic
21,1,20,1,1,1,0,1,One-Year,1,111.2935323,1,1,None,internet_type_Fiber Optic
18,1,11,0,0,0,0,1,Month-to-Month,1,96.96517413,3,1,None,None
65,0,18,0,0,0,0,1,Month-to-Month,1,80.29850746,3,1,None,internet_type_Fiber Optic
29,1,7,0,0,1,0,0,One-Year,1,101.3432836,3,1,None,internet_type_Fiber Optic
17,0,24,0,1,0,0,1,Month-to-Month,1,75.12437811,1,1,None,internet_type_Fiber Optic
24,1,15,0,0,1,0,1,Month-to-Month,1,101.840796,1,1,None,internet_type_Fiber Optic
54,0,24,0,1,0,0,0,Month-to-Month,1,74.32835821,1,1,None,internet_type_Fiber Optic
34,1,6,0,0,0,0,1,Month-to-Month,1,75.02487562,2,1,None,internet_type_Fiber Optic
9,1,11,0,1,0,0,1,Month-to-Month,1,80.84577114,1,1,None,internet_type_Fiber Optic
43,1,17,0,0,0,0,1,Month-to-Month,1,86.0199005,1,1,None,None
18,1,19,0,0,1,0,0,Month-to-Month,1,100.39801,1,1,None,internet_type_Fiber Optic
25,0,11,0,0,0,0,1,Month-to-Month,0,46.56716418,2,1,offer_Offer E,internet_type_DSL
49,0,27,1,0,0,1,1,Month-to-Month,0,101.641791,1,1,None,internet_type_Fiber Optic
12,0,28,0,1,0,0,1,Month-to-Month,1,32.039801,1,1,None,None
17,1,16,0,1,1,0,1,One-Year,1,105.0746269,1,1,None,internet_type_Fiber Optic
57,1,15,0,1,0,0,1,Month-to-Month,1,82.039801,2,1,None,None
10,1,23,0,0,0,0,1,Month-to-Month,1,95.67164179,2,1,offer_Offer E,internet_type_Fiber Optic
8,1,23,0,0,0,0,1,Month-to-Month,1,76.96517413,1,1,None,internet_type_Fiber Optic
27,1,29,0,0,1,0,1,Month-to-Month,1,101.9402985,1,1,offer_Offer E,internet_type_Fiber Optic
32,0,2,1,0,0,1,1,Month-to-Month,1,89.70149254,1,1,offer_Offer E,internet_type_Fiber Optic
39,0,9,0,0,1,0,1,Month-to-Month,1,93.48258706,1,1,offer_Offer E,internet_type_Fiber Optic
10,0,24,0,0,0,0,1,Month-to-Month,0,91.84079602,3,1,None,internet_type_Fiber Optic
10,0,10,0,0,1,1,1,Month-to-Month,1,45.27363184,1,1,None,internet_type_DSL
42,0,21,0,0,1,0,1,Month-to-Month,1,75.77114428,1,1,None,internet_type_Fiber Optic
25,0,27,0,0,0,0,1,Month-to-Month,0,91.09452736,2,1,None,internet_type_Fiber Optic
0,1,16,0,0,1,0,1,Month-to-Month,1,101.7910448,3,1,None,None
60,1,26,0,1,1,0,1,Month-to-Month,1,106.9651741,3,1,None,internet_type_Fiber Optic
41,1,27,0,0,1,1,1,Month-to-Month,1,105.3731343,3,1,None,internet_type_Fiber Optic
0,0,9,0,0,0,0,1,Month-to-Month,1,81.84079602,2,1,offer_Offer E,internet_type_Fiber Optic
24,0,14,0,0,1,0,1,Month-to-Month,1,61.5920398,1,1,None,internet_type_DSL
6,1,16,0,0,0,0,1,Month-to-Month,1,97.51243781,2,1,None,internet_type_Fiber Optic
20,0,30,0,1,0,0,1,One-Year,0,96.61691542,2,1,None,internet_type_Fiber Optic
20,1,24,0,1,0,0,1,Month-to-Month,1,90.99502488,1,1,offer_Offer A,internet_type_Fiber Optic
30,0,27,0,0,0,0,1,Month-to-Month,1,90.89552239,2,1,offer_Offer E,internet_type_Fiber Optic
55,1,22,0,0,0,0,1,Month-to-Month,1,87.01492537,1,1,None,None
11,1,22,0,0,0,0,1,Month-to-Month,1,88.00995025,3,1,None,internet_type_Fiber Optic
21,0,18,0,0,0,0,1,Month-to-Month,1,70.74626866,2,1,offer_Offer E,None
30,0,5,0,0,0,0,1,Month-to-Month,1,26.91542289,1,1,None,None
38,1,24,0,0,0,0,1,Month-to-Month,1,96.41791045,1,1,None,internet_type_Fiber Optic
44,0,24,0,0,0,0,1,Month-to-Month,1,80.64676617,3,1,None,internet_type_Fiber Optic
12,1,4,0,1,1,0,1,Month-to-Month,1,95.62189055,1,1,None,internet_type_Fiber Optic
11,0,10,0,1,1,0,1,Month-to-Month,1,101.1442786,1,1,None,internet_type_Fiber Optic
45,1,18,0,0,0,0,1,Month-to-Month,1,95.2238806,3,1,None,internet_type_Fiber Optic
39,1,18,0,0,0,0,1,Month-to-Month,1,85.82089552,2,1,None,internet_type_Fiber Optic
24,0,9,0,0,1,0,1,Month-to-Month,1,77.01492537,1,1,None,internet_type_Fiber Optic
47,1,8,0,0,0,0,0,Month-to-Month,1,98.05970149,1,1,offer_Offer D,internet_type_Fiber Optic
14,1,9,0,1,0,0,1,Month-to-Month,1,89.60199005,1,1,offer_Offer D,internet_type_Fiber Optic
0,1,19,0,0,0,0,1,Month-to-Month,0,77.11442786,3,1,offer_Offer D,internet_type_Fiber Optic
26,1,20,0,0,0,0,1,Month-to-Month,1,76.16915423,1,1,None,internet_type_Fiber Optic
67,0,26,0,0,0,0,0,Month-to-Month,1,27.51243781,1,1,None,internet_type_DSL
5,1,14,0,0,0,0,1,Month-to-Month,1,96.71641791,1,1,offer_Offer D,internet_type_Fiber Optic
25,0,6,0,0,0,0,0,Month-to-Month,0,46.61691542,3,1,None,internet_type_DSL
42,0,19,0,0,0,0,1,Month-to-Month,1,81.89054726,2,1,offer_Offer D,internet_type_Fiber Optic
29,0,11,0,1,0,0,1,Month-to-Month,1,76.16915423,2,1,None,internet_type_Fiber Optic
63,1,20,0,0,1,0,0,Month-to-Month,1,90.19900498,1,1,None,internet_type_Fiber Optic
56,0,5,0,1,0,1,1,Month-to-Month,1,90.44776119,1,1,offer_Offer D,internet_type_Fiber Optic
35,0,23,0,1,0,0,1,Month-to-Month,1,96.11940299,2,1,offer_Offer D,internet_type_Fiber Optic
28,1,6,1,0,1,0,1,Month-to-Month,1,86.76616915,1,1,offer_Offer D,internet_type_Fiber Optic
29,0,2,0,0,0,0,1,Month-to-Month,1,46.66666667,1,1,None,internet_type_DSL
63,1,17,0,0,0,0,1,Month-to-Month,1,86.06965174,2,1,None,internet_type_Fiber Optic
31,0,16,0,0,0,0,1,Month-to-Month,1,80.54726368,3,1,None,internet_type_Fiber Optic
59,0,12,0,0,1,0,1,Month-to-Month,1,51.74129353,2,1,offer_Offer E,None
65,0,15,0,0,0,0,1,Month-to-Month,1,71.09452736,1,1,offer_Offer E,internet_type_Fiber Optic
32,1,23,1,1,1,0,1,Month-to-Month,1,114.4776119,1,1,None,internet_type_Fiber Optic
21,0,4,0,0,0,0,0,Month-to-Month,1,91.89054726,1,1,None,internet_type_Fiber Optic
50,1,23,0,0,0,0,1,Month-to-Month,1,86.41791045,1,1,None,internet_type_Fiber Optic
4,1,10,0,0,0,0,1,Month-to-Month,0,86.71641791,1,1,None,internet_type_Fiber Optic
37,0,3,0,0,0,0,1,Month-to-Month,1,46.46766169,2,1,None,None
54,0,14,0,0,0,0,1,Month-to-Month,0,46.71641791,2,1,offer_Offer E,None
23,0,26,0,1,1,0,1,Month-to-Month,1,44.92537313,3,1,offer_Offer E,internet_type_DSL
5,0,27,1,1,0,0,1,Month-to-Month,1,58.70646766,1,1,None,internet_type_DSL
23,1,22,1,1,0,1,1,Month-to-Month,1,101.840796,1,1,None,None
12,0,14,0,0,0,0,1,Month-to-Month,0,46.71641791,1,1,offer_Offer E,internet_type_DSL
51,0,29,0,1,0,0,1,Month-to-Month,1,51.99004975,3,1,None,internet_type_DSL
28,0,20,0,0,0,0,1,Month-to-Month,0,80.39800995,3,1,offer_Offer E,internet_type_Fiber Optic
32,1,6,0,0,0,0,1,Month-to-Month,1,94.92537313,1,1,offer_Offer E,internet_type_Fiber Optic
2,1,19,1,1,1,0,1,One-Year,1,110.1492537,1,1,None,internet_type_Fiber Optic
44,1,7,0,0,0,0,1,Month-to-Month,1,86.16915423,2,1,None,internet_type_Fiber Optic
64,0,27,0,0,0,0,0,Month-to-Month,1,71.44278607,2,1,offer_Offer E,internet_type_Fiber Optic
1,1,11,0,1,0,0,0,Month-to-Month,1,82.43781095,1,1,offer_Offer E,internet_type_Fiber Optic
42,0,7,0,0,1,0,1,Month-to-Month,1,98.15920398,1,1,None,internet_type_Fiber Optic
28,0,10,1,1,0,1,1,Month-to-Month,1,109.4527363,1,1,None,internet_type_Fiber Optic
65,1,6,0,0,0,0,1,Month-to-Month,1,94.57711443,3,1,None,internet_type_Fiber Optic
58,0,13,0,0,0,0,1,Month-to-Month,1,72.039801,3,1,offer_Offer E,internet_type_Fiber Optic
51,1,28,0,0,1,0,0,Month-to-Month,1,99.85074627,3,1,None,internet_type_Fiber Optic
58,1,6,0,0,0,0,1,Month-to-Month,1,96.61691542,1,1,None,None
61,1,17,0,0,0,0,1,Month-to-Month,1,75.87064677,3,1,None,internet_type_Fiber Optic
52,1,28,0,0,1,0,1,Month-to-Month,1,89.95024876,1,1,None,internet_type_Fiber Optic
60,0,2,0,0,0,0,1,Month-to-Month,1,92.68656716,3,1,None,internet_type_Fiber Optic
60,0,22,0,0,0,0,1,Month-to-Month,1,71.5920398,2,1,None,internet_type_Fiber Optic
62,1,21,0,1,1,0,1,Month-to-Month,1,96.61691542,2,1,None,internet_type_Fiber Optic
11,1,23,0,0,1,0,1,Month-to-Month,1,102.1393035,1,1,None,internet_type_Fiber Optic
19,0,8,0,1,0,0,1,Month-to-Month,1,77.91044776,1,1,None,internet_type_Fiber Optic
37,0,20,0,0,1,0,1,Month-to-Month,1,88.25870647,2,1,None,internet_type_Fiber Optic
52,1,25,0,0,1,0,1,Month-to-Month,1,100.8457711,1,1,offer_Offer A,internet_type_Fiber Optic
18,1,4,0,1,1,1,1,Two-Year,1,109.7014925,3,1,offer_Offer A,internet_type_Fiber Optic
59,1,3,0,0,1,1,0,Month-to-Month,1,84.47761194,3,1,None,internet_type_Fiber Optic
39,1,4,0,1,1,0,1,One-Year,1,106.0696517,3,1,None,internet_type_Fiber Optic
11,1,9,0,0,0,0,1,Month-to-Month,1,95.62189055,2,1,None,internet_type_Fiber Optic
62,0,8,0,0,0,0,1,Month-to-Month,1,71.64179104,2,1,None,internet_type_Fiber Optic
36,1,3,0,1,1,0,1,Month-to-Month,0,107.6616915,2,1,None,internet_type_Fiber Optic
2,1,20,0,0,0,0,1,Month-to-Month,1,95.92039801,1,1,None,internet_type_Fiber Optic
9,0,6,0,0,0,0,1,Month-to-Month,1,26.16915423,3,1,None,internet_type_DSL
41,1,13,0,0,0,0,0,Month-to-Month,1,86.21890547,3,1,None,internet_type_Fiber Optic
61,1,4,0,1,0,0,1,Month-to-Month,1,101.2935323,3,1,None,internet_type_Fiber Optic
2,1,7,0,1,1,0,1,Month-to-Month,1,106.1691542,1,1,None,internet_type_Fiber Optic
3,1,9,0,0,0,0,1,Month-to-Month,1,75.67164179,1,1,None,internet_type_Fiber Optic
53,1,15,0,0,0,0,1,Month-to-Month,1,95.2238806,2,1,None,internet_type_Fiber Optic
40,1,17,1,1,1,0,1,Month-to-Month,1,102.039801,1,1,None,internet_type_Fiber Optic
3,1,6,0,1,0,0,1,Month-to-Month,1,91.09452736,3,1,None,internet_type_Fiber Optic
19,1,14,0,0,0,0,1,Month-to-Month,1,97.76119403,3,1,None,internet_type_Fiber Optic
22,0,15,0,0,0,0,0,Month-to-Month,1,70.99502488,2,1,None,internet_type_Fiber Optic
5,1,5,0,0,0,0,1,Month-to-Month,1,86.66666667,2,1,None,internet_type_Fiber Optic
33,0,17,1,0,1,0,1,One-Year,0,64.22885572,1,1,None,internet_type_DSL
0,1,22,0,1,1,0,1,Month-to-Month,0,107.2636816,2,1,offer_Offer C,internet_type_Fiber Optic
32,1,23,0,0,0,0,0,Month-to-Month,1,97.01492537,1,1,offer_Offer C,internet_type_Fiber Optic
53,0,21,0,0,1,1,1,Month-to-Month,1,100.2487562,2,1,offer_Offer C,internet_type_Fiber Optic
56,1,28,0,0,0,0,1,Month-to-Month,1,77.51243781,1,1,None,internet_type_Fiber Optic
33,0,5,0,0,0,0,1,Month-to-Month,1,71.24378109,1,1,None,internet_type_Fiber Optic
25,1,25,0,1,1,1,0,Month-to-Month,1,111.7412935,1,1,offer_Offer C,internet_type_Fiber Optic
62,1,2,0,0,1,0,1,Month-to-Month,1,100.5970149,2,1,None,internet_type_Fiber Optic
8,1,15,0,0,1,0,1,Month-to-Month,1,81.29353234,3,1,None,internet_type_Fiber Optic
24,0,2,0,0,0,0,1,Month-to-Month,1,81.89054726,1,1,None,internet_type_Fiber Optic
37,1,28,1,0,0,0,1,Month-to-Month,1,102.1393035,1,1,offer_Offer D,internet_type_Fiber Optic
21,0,18,0,0,0,0,1,Month-to-Month,1,80.69651741,1,1,offer_Offer D,internet_type_Fiber Optic
35,0,6,0,0,0,0,1,Month-to-Month,1,90.89552239,2,1,None,internet_type_Fiber Optic
20,1,23,0,0,0,0,1,Month-to-Month,1,87.46268657,1,1,None,internet_type_Fiber Optic
60,0,4,0,0,0,0,1,Month-to-Month,1,36.3681592,1,1,offer_Offer D,internet_type_DSL
0,1,6,1,0,0,1,0,One-Year,1,61.5920398,1,1,None,None
62,0,8,0,1,0,0,1,Month-to-Month,1,75.77114428,1,1,offer_Offer D,internet_type_Fiber Optic
6,1,27,0,0,0,0,1,Month-to-Month,1,76.0199005,1,1,None,internet_type_Fiber Optic
55,1,22,0,0,1,1,1,Month-to-Month,1,106.2189055,1,1,offer_Offer C,internet_type_Fiber Optic
4,1,29,0,0,0,0,0,Month-to-Month,1,75.87064677,3,1,None,internet_type_Fiber Optic
16,0,20,0,0,0,0,1,Month-to-Month,1,71.19402985,1,1,None,internet_type_Fiber Optic
6,1,27,0,1,1,0,1,Month-to-Month,1,99.45273632,3,1,offer_Offer D,internet_type_Fiber Optic
24,1,20,1,0,0,0,1,Month-to-Month,1,100.9452736,1,1,None,internet_type_Fiber Optic
10,1,20,0,1,1,0,1,Month-to-Month,1,104.278607,1,1,None,internet_type_Fiber Optic
19,0,5,0,0,0,0,1,Month-to-Month,1,72.48756219,3,1,None,internet_type_Fiber Optic
44,0,26,0,0,0,0,1,Month-to-Month,0,72.039801,3,1,None,internet_type_Fiber Optic
66,0,8,0,0,0,0,1,Month-to-Month,1,70.74626866,1,1,None,internet_type_Fiber Optic
27,0,7,0,1,1,1,0,Month-to-Month,1,85.2238806,1,1,offer_Offer D,None
16,0,25,0,1,1,0,1,Month-to-Month,1,56.0199005,2,1,None,internet_type_DSL
48,1,15,0,0,1,0,1,Month-to-Month,1,101.1442786,1,1,None,internet_type_Fiber Optic
44,0,17,0,0,0,0,1,Month-to-Month,1,71.74129353,2,1,None,internet_type_Fiber Optic
65,1,4,0,1,0,0,0,Month-to-Month,1,91.34328358,1,1,None,internet_type_Fiber Optic
21,1,11,0,0,0,0,1,Month-to-Month,1,76.41791045,3,1,offer_Offer D,internet_type_Fiber Optic
49,0,9,0,1,0,0,1,Month-to-Month,1,75.87064677,1,1,offer_Offer C,internet_type_Fiber Optic
35,0,24,0,0,0,0,1,Month-to-Month,1,72.53731343,3,1,None,None
35,0,13,0,0,1,0,1,Month-to-Month,1,32.08955224,1,1,None,internet_type_DSL
23,1,29,0,1,1,0,1,Month-to-Month,1,107.7114428,1,1,None,internet_type_Fiber Optic
62,1,25,0,0,0,0,1,Month-to-Month,1,86.96517413,3,1,offer_Offer E,internet_type_Fiber Optic
20,0,4,0,1,1,0,1,Month-to-Month,1,81.09452736,3,1,offer_Offer C,internet_type_Fiber Optic
19,0,0,0,0,0,0,0,Month-to-Month,1,21.19402985,1,1,None,internet_type_None
14,1,9,0,0,0,0,1,Month-to-Month,1,87.36318408,3,1,offer_Offer C,internet_type_Fiber Optic
13,0,16,0,0,0,1,1,Month-to-Month,0,60.94527363,1,1,None,internet_type_DSL
65,1,2,0,0,0,1,1,Month-to-Month,1,100.8955224,1,1,offer_Offer C,internet_type_Fiber Optic
62,0,20,0,1,1,1,1,Month-to-Month,1,96.46766169,3,1,offer_Offer E,internet_type_Fiber Optic
8,0,16,0,0,0,0,1,Month-to-Month,0,82.93532338,2,1,None,internet_type_Fiber Optic
62,0,20,0,0,0,0,1,Month-to-Month,1,38.10945274,1,1,offer_Offer E,internet_type_DSL
62,0,21,0,0,0,0,1,Month-to-Month,0,26.76616915,1,1,offer_Offer E,internet_type_DSL
21,0,21,0,1,1,0,1,Month-to-Month,0,57.11442786,1,1,offer_Offer B,internet_type_DSL
31,1,4,0,0,0,0,1,Month-to-Month,1,88.05970149,1,1,None,None
47,1,2,1,1,0,0,1,Month-to-Month,1,108.0597015,1,1,offer_Offer C,internet_type_Fiber Optic
30,1,4,0,1,0,0,1,Month-to-Month,1,102.6865672,1,1,None,internet_type_Fiber Optic
0,1,29,0,0,0,0,0,Month-to-Month,1,96.8159204,2,1,offer_Offer C,internet_type_Fiber Optic
60,0,10,0,0,0,0,1,Month-to-Month,1,71.09452736,2,1,offer_Offer E,internet_type_Fiber Optic
16,0,13,0,0,0,0,1,Month-to-Month,0,79.90049751,1,1,offer_Offer E,internet_type_Fiber Optic
55,1,21,0,0,0,0,1,Month-to-Month,1,85.87064677,3,1,offer_Offer E,internet_type_Fiber Optic
36,0,30,0,1,1,1,1,One-Year,1,71.64179104,3,1,offer_Offer C,None
18,1,11,0,0,1,0,1,Month-to-Month,1,99.15422886,2,1,offer_Offer B,internet_type_Fiber Optic
15,1,25,0,0,0,0,1,Month-to-Month,1,84.57711443,3,1,None,internet_type_Fiber Optic
16,1,25,0,0,0,0,1,Month-to-Month,1,76.91542289,3,1,None,internet_type_Fiber Optic
58,0,6,1,1,0,0,1,Month-to-Month,0,56.41791045,1,1,None,internet_type_DSL
28,1,11,0,0,0,0,1,Month-to-Month,1,96.46766169,1,1,None,internet_type_Fiber Optic
46,1,6,0,1,0,0,1,Month-to-Month,1,103.2338308,1,1,offer_Offer B,internet_type_Fiber Optic
9,1,30,1,0,1,0,1,Month-to-Month,1,95.17412935,1,1,offer_Offer B,internet_type_Fiber Optic
32,1,2,0,1,1,0,1,Two-Year,1,105.4726368,3,1,None,internet_type_Fiber Optic
57,0,11,0,0,0,0,1,Month-to-Month,1,92.78606965,1,1,None,internet_type_Fiber Optic
56,1,18,0,0,0,0,1,Month-to-Month,1,76.8159204,3,1,None,internet_type_Fiber Optic
57,1,5,0,0,0,0,1,Month-to-Month,1,86.21890547,2,1,None,internet_type_Fiber Optic
45,1,4,0,1,1,0,0,Month-to-Month,1,96.41791045,3,1,offer_Offer B,internet_type_Fiber Optic
22,0,28,0,0,1,0,1,Month-to-Month,0,51.94029851,1,1,None,internet_type_DSL
46,1,12,0,1,0,0,1,Month-to-Month,1,91.19402985,1,1,None,internet_type_Fiber Optic
17,1,15,0,1,0,0,1,Month-to-Month,1,100.7960199,1,1,None,internet_type_Fiber Optic
23,0,28,0,0,0,0,1,Month-to-Month,1,71.69154229,1,1,None,internet_type_Fiber Optic
27,1,22,0,1,1,0,1,Month-to-Month,1,85.62189055,2,1,offer_Offer B,None
57,1,18,0,1,1,0,0,Month-to-Month,0,107.0646766,1,1,offer_Offer C,internet_type_Fiber Optic
30,0,12,0,0,1,0,1,Month-to-Month,1,49.95024876,2,1,None,internet_type_DSL
30,0,9,1,0,0,0,1,Month-to-Month,1,51.14427861,1,1,offer_Offer E,None
55,0,20,0,1,0,0,1,Month-to-Month,0,51.74129353,1,1,offer_Offer E,internet_type_DSL
12,1,21,0,1,1,0,0,Month-to-Month,1,97.26368159,3,1,offer_Offer C,internet_type_Fiber Optic
55,0,15,0,0,0,0,1,Month-to-Month,0,26.96517413,2,1,offer_Offer E,internet_type_DSL
21,1,22,0,0,1,0,1,Month-to-Month,1,102.3383085,1,1,offer_Offer B,internet_type_Fiber Optic
49,0,22,0,0,0,0,0,Month-to-Month,1,72.63681592,3,1,offer_Offer E,internet_type_Fiber Optic
33,1,5,1,0,0,0,1,Month-to-Month,1,80.59701493,1,1,None,internet_type_Fiber Optic
7,0,3,0,0,0,0,0,Month-to-Month,1,81.84079602,3,1,offer_Offer B,internet_type_Fiber Optic
55,1,14,0,0,0,0,1,Month-to-Month,1,95.2238806,1,1,None,internet_type_Fiber Optic
17,0,22,1,0,1,0,1,Month-to-Month,1,57.36318408,1,1,offer_Offer E,None
50,1,21,0,0,1,0,1,Month-to-Month,1,99.75124378,1,1,offer_Offer B,internet_type_Fiber Optic
65,1,15,1,1,1,1,0,Two-Year,0,80.84577114,1,1,None,internet_type_DSL
19,1,25,0,0,1,0,1,Month-to-Month,1,102.7363184,3,1,offer_Offer C,internet_type_Fiber Optic
11,1,24,0,0,1,0,1,Month-to-Month,1,91.19402985,2,1,None,internet_type_Fiber Optic
49,0,27,0,0,0,0,1,Month-to-Month,1,92.63681592,3,1,offer_Offer C,internet_type_Fiber Optic
23,1,21,0,1,0,1,1,Month-to-Month,1,86.86567164,1,1,None,internet_type_Fiber Optic
56,0,12,0,0,0,0,1,Month-to-Month,1,73.13432836,2,1,offer_Offer E,internet_type_Fiber Optic
64,1,23,0,0,0,0,1,Month-to-Month,1,75.67164179,2,1,offer_Offer E,internet_type_Fiber Optic
37,1,20,0,1,0,0,0,Month-to-Month,1,102.3383085,1,1,offer_Offer B,internet_type_Fiber Optic
25,1,25,1,0,0,0,1,One-Year,1,90.44776119,1,1,offer_Offer C,internet_type_Fiber Optic
15,1,3,0,1,0,0,1,Month-to-Month,1,97.86069652,3,1,None,internet_type_Fiber Optic
9,0,13,0,0,0,0,1,Month-to-Month,0,72.33830846,2,1,offer_Offer E,internet_type_Fiber Optic
56,1,29,0,1,1,1,1,One-Year,1,113.2338308,2,1,offer_Offer B,None
47,0,12,0,0,0,0,1,Month-to-Month,0,70.59701493,3,1,None,internet_type_Fiber Optic
22,1,14,0,0,1,0,1,Month-to-Month,1,80,2,1,offer_Offer E,internet_type_Fiber Optic
48,1,2,0,0,0,0,1,Month-to-Month,1,97.56218905,2,1,offer_Offer B,internet_type_Fiber Optic
3,0,27,0,0,1,0,0,Month-to-Month,0,75.87064677,1,1,offer_Offer E,internet_type_Fiber Optic
27,1,12,0,0,0,0,1,Month-to-Month,1,85.97014925,1,1,offer_Offer E,internet_type_Fiber Optic
26,1,15,0,0,0,0,1,Month-to-Month,1,87.21393035,1,1,offer_Offer D,internet_type_Fiber Optic
65,1,8,0,1,0,0,1,One-Year,1,102.8358209,2,1,offer_Offer B,internet_type_Fiber Optic
14,0,21,0,0,0,0,1,Month-to-Month,1,71.09452736,3,1,offer_Offer E,internet_type_Fiber Optic
60,0,7,0,0,1,0,0,Month-to-Month,1,41.94029851,2,1,None,None
41,1,5,0,0,1,0,1,Month-to-Month,1,100.0497512,1,1,offer_Offer B,internet_type_Fiber Optic
61,1,24,0,1,0,0,1,Month-to-Month,1,101.5422886,1,1,None,None
